Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name,Start Call Number 1,End Call Number 1,Location 1,Start Call Number 2,End Call Number 2,Location 2,Etc
0,0,215,Reference,*,*,Reference
37,4,25,76,QA613.2,QB474.,4th Floor Book Collection
37,5,26,77,QB475.,QC20.7 G76 T49 2017,4th Floor Book Collection
37,6,27,78,QC20.7 G76 Z44 2016,QC174.17 M35,4th Floor Book Collection
37,7,28,79,QC174.17 P27,QC415. B83 1995,4th Floor Book Collection
37,8,29,80,QC415. B83 1995 C.2,QC861.3,4th Floor Book Collection
37,9,30,81,QC863.4,QC997.,4th Floor Book Collection
37,10,31,82,QD1.,QD262. S54 2013,4th Floor Book Collection
37,11,32,83,QD262. S65 2017,QD947.,4th Floor Book Collection
37,12,118,84,QE39.,QH324.2 R33 2020,4th Floor Book Collection
37,13,119,85,QH324.2 R39 2006,QH541.15 E19 R56 2020,4th Floor Book Collection
37,14,120,86,QH541.15 E19 W653 2016,QK989.,4th Floor Book Collection
37,15,121,87,QL26.,QP82.2 E43 B4 1985,4th Floor Book Collection
37,16,122,88,QP82.2 E43 C73 2007,QP514. T48,4th Floor Book Collection
37,17,123,89,QP519.7,QR502.,4th Floor Book Collection
37,18,124,90,R61.,RC45.,4th Floor Book Collection
37,19,125,91,RC46.,SK113.,4th Floor Book Collection,PE2913. L55 V.2,SF996.5 S57 2024,Oversize Book Collection
47,0,17,113,TS155. S7824 2002 V.2,ZA4460.,4th Floor Book Collection,T15. B53 2014,ZZ9999.,Oversize Book Collection
47,1,18,112,TP248.65 F66 M53,TS155. S7824 2002,4th Floor Book Collection
47,2,19,111,TP1.,TP248.65 F66 M4,4th Floor Book Collection
47,3,20,110,TL1.,TN9999.,4th Floor Book Collection
47,4,142,109,TK7876. R65,TK9999.,4th Floor Book Collection
47,5,143,108,TK7871.674 S46,TK7876. R5,4th Floor Book Collection
47,6,144,107,TK5105.888 5 J83,TK7871.674 S3,4th Floor Book Collection
47,7,145,106,TK5105.5 O633,TK5105.888 5 J7,4th Floor Book Collection
47,8,146,105,TK5103.25 A14,TK5105.5 O5,4th Floor Book Collection
47,9,147,104,TK5101. A1,TK5103.25  A137 2020,4th Floor Book Collection
52,0,63,103L,TK2551. P2,TK3148. Z3,4th Floor Book Collection
52,1,64,102L,TK5.,TK2551. P1,4th Floor Book Collection
53,0,154,103S,TK3148. Z4,TK4660. J38 2003,4th Floor Book Collection
53,1,155,102S,TJ808. Z43,TK4.,4th Floor Book Collection
54,0,59,101,TJ211.3,TJ808. Z3,4th Floor Book Collection
54,1,60,100,TG1.,TJ211.28 Z999,4th Floor Book Collection
54,2,61,99,TD1.,TF9999.,4th Floor Book Collection
54,3,62,98,TA775. S9,TC9999.,4th Floor Book Collection
54,4,148,97,TA455. P58 W,TA775. S8,4th Floor Book Collection
54,5,149,96,TA417.3 I58 2011,TA455. P58 V999,4th Floor Book Collection
54,6,150,95,TA340. H35,TA417.3 I58 2009,4th Floor Book Collection
54,7,151,94,TA5.,TA340. H34 2020,4th Floor Book Collection
54,8,152,93,T58.6 H18 2000,T9999.,4th Floor Book Collection
54,9,153,92,T6.,T58.6 H18 1998,4th Floor Book Collection
199,0,196,
199,1,197,
199,2,198,
199,3,199,
199,4,200,
199,5,201,
199,6,202,
199,7,203,
199,8,204,
199,9,205,
199,10,206,
199,11,207,
199,12,208,
199,13,209,
